Site,Pass,Plastic Count,Plastic Mass,NP Count,NP Mass (g),Powerbait,Fishing Line,Review_popularity,Distance (mi),Popular
Crystal,1,1,0,0,0,0,1,9,1.6,no
Crystal,2,0,0,1,9.53,0,0,9,1.6,no
Crystal,3,0,0,0,0,0,0,9,1.6,no
Mary,1,37,22.18,0,0,1,3,107,0,yes
Mary,2,26,0.77,7,18.21,0,21,107,0,yes
Mary,3,37,4.79,6,8.34,0,26,107,0,yes
June,1,47,4.46,3,7.04,1,12,127,0,yes
June,2,15,7.85,4,1.69,4,1,127,0,yes
June,3,12,1.72,2,1.13,0,5,127,0,yes
Parker,1,4,1.03,1,0.18,0,1,20,1.7,no
Parker,2,4,1.37,3,3.99,0,5,20,1.7,no
Parker ,3,4,0.07,0,0,0,4,20,1.7,no
Convict RT,1,36,173.09,3,2.88,NA,NA,599,0.1,yes
Convict RT,2,33,19.82,6,2.25,NA,NA,599,0.1,yes
Convict RT,3,11,241.7,3,2.3,NA,NA,599,0.1,yes
Convict ,1,53,85.52,6,13.56,NA,NA,599,0.5,yes
Convict ,2,30,37.84,2,3.75,NA,NA,599,0.5,yes
Convict ,3,18,4.78,1,2,NA,NA,599,0.5,yes