Collection Date,Site,Replicate,Grain Size,Sediment Weight (g),Total count,Review_popularity,Distance (mi),Fishing
9/10/23,Trapdoor,1,1,37.67,0,0,,low
9/10/23,Trapdoor,2,1,21.89,0,0,,low
9/10/23,Trapdoor,3,1,28.78,0,0,,low
9/10/23,Mary,1,2,38.58,0,107,0,high
9/10/23,Mary,2,1,21.01,6,107,0,high
9/10/23,Mary,3,2,24.7,1,107,0,high
9/10/23,Crystal,1,2,43.78,0,9,1.6,intermediate
9/10/23,Crystal,2,2,41.76,1,9,1.6,intermediate
9/10/23,Crystal,3,2,36.26,0,9,1.6,intermediate
9/10/23,Marmot,1,1,40.96,0,7,4,low
9/10/23,Marmot,2,1,48.05,0,7,4,low
9/10/23,Marmot,3,1,40.73,0,7,4,low
9/5/23,Convict RT,1,4,10.32,3,599,0.1,high
9/5/23,Convict RT,2,4,1.4,2,599,0.1,high
9/5/23,Convict ,1,4,3.71,8,599,0.5,high
9/5/23,Convict ,2,3,3.67,3,599,0.5,high
9/12/23,Parker ,1,3,17.88,0,20,1.7,intermediate
9/12/23,Parker ,2,3,26.35,0,20,1.7,intermediate
9/12/23,Parker ,3,1,65.19,0,20,1.7,intermediate
9/12/23,Silver ,1,2,38.99,0,125,0,high
9/12/23,Silver ,2,2,45.09,2,125,0,high
9/12/23,Silver ,3,2,23.93,0,125,0,high
9/12/23,June ,1,2,60.67,1,127,0,high
9/12/23,June ,2,1,57.27,0,127,0,high
9/12/23,June ,3,2,43.21,1,127,0,high